[ 2025-08-09 01:28:17,917 ] 20 root - INFO - Initiate the data ingestion
[ 2025-08-09 01:28:24,111 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-09 01:28:24,111 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-09 01:28:24,117 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-09 01:28:24,398 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-09 01:28:24,400 ] 22 root - INFO - Data Initiation Completed
[ 2025-08-09 01:28:24,475 ] 26 root - INFO - Initiate the data Validation
[ 2025-08-09 01:28:24,713 ] 32 root - INFO - Required number of columns:2
[ 2025-08-09 01:28:24,722 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-09 01:28:24,722 ] 32 root - INFO - Required number of columns:2
[ 2025-08-09 01:28:24,722 ] 33 root - INFO - Data frame has columns:31
[ 2025-08-09 01:28:25,341 ] 28 root - INFO - data Validation Completed
